id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,priority,gender,discount_offered,weight_in_gms,exceeded_deadline,faixa_peso,faixa_desconto
4903,D,Ship,5,1,255.0,3,high,M,6.0,4044.0,True,4001-5000,6-10%
4904,F,Ship,4,3,153.0,3,medium,F,6.0,5748.0,False,5001-6000,6-10%
4905,A,Ship,3,1,165.0,2,low,M,6.0,4445.0,False,4001-5000,6-10%
4906,B,Road,3,2,162.0,3,medium,M,6.0,4505.0,True,4001-5000,6-10%
4907,C,Road,3,1,223.0,3,low,M,8.0,5318.0,False,5001-6000,6-10%
4908,F,Road,3,4,200.0,2,medium,F,6.0,4751.0,True,4001-5000,6-10%
4909,D,Road,3,5,194.0,3,medium,F,3.0,4435.0,True,4001-5000,0-5%
4910,F,Road,3,1,257.0,2,low,M,6.0,4897.0,True,4001-5000,6-10%
4911,A,Road,2,1,188.0,2,low,M,5.0,5250.0,False,5001-6000,0-5%
4912,B,Road,3,4,221.0,3,medium,F,1.0,5391.0,False,5001-6000,0-5%
4913,C,Road,4,4,193.0,2,low,F,6.0,4855.0,True,4001-5000,6-10%
4914,F,Road,3,1,166.0,2,low,M,2.0,5710.0,True,5001-6000,0-5%
4915,D,Road,4,4,212.0,2,medium,M,8.0,4239.0,False,4001-5000,6-10%
4916,F,Road,3,2,252.0,3,medium,M,7.0,4507.0,False,4001-5000,6-10%
4917,A,Road,3,1,155.0,2,low,M,7.0,4221.0,True,4001-5000,6-10%
4918,B,Road,4,5,244.0,4,medium,F,2.0,5365.0,True,5001-6000,0-5%
4919,C,Road,3,3,162.0,2,medium,M,7.0,5719.0,True,5001-6000,6-10%
4920,F,Road,2,1,228.0,2,medium,M,10.0,4854.0,True,4001-5000,6-10%
4921,D,Road,4,3,208.0,3,medium,F,3.0,4837.0,True,4001-5000,0-5%
4922,F,Road,5,3,156.0,3,medium,M,7.0,4293.0,False,4001-5000,6-10%
4923,A,Road,3,1,209.0,2,high,F,1.0,5779.0,True,5001-6000,0-5%
4924,B,Road,4,5,203.0,2,medium,F,8.0,4450.0,True,4001-5000,6-10%
4925,C,Road,4,4,196.0,5,high,F,7.0,4622.0,False,4001-5000,6-10%
4926,F,Road,4,4,256.0,3,low,M,8.0,4398.0,False,4001-5000,6-10%
4927,D,Road,4,5,159.0,4,medium,F,4.0,4816.0,False,4001-5000,0-5%
4928,F,Flight,5,5,137.0,4,low,M,4.0,5888.0,False,5001-6000,0-5%
4929,A,Flight,2,5,271.0,3,low,M,4.0,5775.0,False,5001-6000,0-5%
4930,B,Flight,5,1,264.0,2,medium,F,3.0,4056.0,True,4001-5000,0-5%
4931,C,Flight,2,2,264.0,3,medium,M,1.0,4518.0,False,4001-5000,0-5%
4932,F,Flight,4,3,205.0,2,medium,M,10.0,4178.0,True,4001-5000,6-10%
4933,D,Flight,5,1,266.0,3,low,M,10.0,5858.0,False,5001-6000,6-10%
4934,F,Flight,5,4,200.0,3,medium,F,8.0,5206.0,True,5001-6000,6-10%
4935,A,Flight,4,4,154.0,6,medium,F,10.0,4361.0,True,4001-5000,6-10%
4936,B,Flight,3,2,178.0,3,low,M,4.0,5119.0,True,5001-6000,0-5%
4937,C,Flight,5,2,198.0,3,low,F,7.0,5768.0,True,5001-6000,6-10%
4938,F,Flight,3,4,218.0,2,medium,M,2.0,5973.0,False,5001-6000,0-5%
4939,D,Flight,4,4,185.0,3,high,F,6.0,4238.0,True,4001-5000,6-10%
4940,F,Flight,3,4,235.0,3,low,M,4.0,5498.0,False,5001-6000,0-5%
4941,A,Flight,3,5,251.0,3,high,F,4.0,4156.0,True,4001-5000,0-5%
4942,B,Flight,5,2,275.0,5,low,F,9.0,5168.0,True,5001-6000,6-10%
4943,C,Flight,5,2,156.0,5,low,M,9.0,5237.0,False,5001-6000,6-10%
4944,F,Flight,3,5,135.0,3,low,M,3.0,4938.0,False,4001-5000,0-5%
4945,D,Flight,4,1,143.0,3,medium,M,4.0,4283.0,False,4001-5000,0-5%
4946,F,Flight,5,1,240.0,3,high,M,10.0,5277.0,False,5001-6000,6-10%
4947,A,Flight,5,2,131.0,5,low,F,4.0,4600.0,True,4001-5000,0-5%
4948,B,Flight,4,5,142.0,3,medium,M,2.0,5692.0,False,5001-6000,0-5%
4949,C,Flight,5,4,275.0,4,low,F,7.0,4597.0,False,4001-5000,6-10%
4950,F,Ship,5,5,137.0,3,low,M,5.0,5914.0,True,5001-6000,0-5%
4951,D,Ship,3,3,165.0,4,medium,M,3.0,4235.0,False,4001-5000,0-5%
4952,F,Ship,5,4,250.0,2,low,F,10.0,4277.0,False,4001-5000,6-10%
4953,A,Ship,4,2,242.0,3,medium,M,10.0,4721.0,False,4001-5000,6-10%
4954,B,Ship,3,3,181.0,3,medium,F,3.0,5620.0,True,5001-6000,0-5%
4955,C,Ship,4,4,211.0,3,medium,M,5.0,4812.0,False,4001-5000,0-5%
4956,F,Ship,2,2,177.0,4,low,M,8.0,5878.0,True,5001-6000,6-10%
4957,D,Ship,3,3,135.0,3,medium,M,2.0,5860.0,False,5001-6000,0-5%
4958,F,Ship,6,4,151.0,3,low,F,10.0,5414.0,True,5001-6000,6-10%
4959,A,Ship,5,4,250.0,6,low,F,1.0,4343.0,False,4001-5000,0-5%
4960,B,Ship,5,5,191.0,4,medium,F,10.0,4933.0,True,4001-5000,6-10%
4961,C,Ship,2,4,158.0,5,medium,F,2.0,4303.0,True,4001-5000,0-5%
4962,F,Ship,3,3,229.0,2,medium,F,1.0,5670.0,False,5001-6000,0-5%
4963,D,Ship,4,5,169.0,4,low,M,6.0,4168.0,True,4001-5000,6-10%
4964,F,Ship,5,1,164.0,3,low,M,7.0,4540.0,True,4001-5000,6-10%
4965,A,Ship,4,1,177.0,2,medium,M,6.0,5566.0,False,5001-6000,6-10%
4966,B,Ship,4,4,193.0,3,medium,M,8.0,4715.0,True,4001-5000,6-10%
4967,C,Ship,4,1,198.0,3,medium,F,1.0,4090.0,False,4001-5000,0-5%
4968,F,Ship,3,1,268.0,3,low,M,2.0,4746.0,True,4001-5000,0-5%
4969,D,Ship,3,3,269.0,3,high,M,8.0,5910.0,False,5001-6000,6-10%
4970,F,Ship,4,3,275.0,3,low,F,3.0,4824.0,False,4001-5000,0-5%
4971,A,Ship,5,5,233.0,3,high,M,5.0,5330.0,False,5001-6000,0-5%
4972,B,Ship,2,5,259.0,3,low,M,3.0,4770.0,True,4001-5000,0-5%
4973,C,Ship,3,5,239.0,6,low,F,8.0,5791.0,True,5001-6000,6-10%
4974,F,Ship,3,2,134.0,3,medium,F,3.0,5232.0,False,5001-6000,0-5%
4975,D,Ship,5,4,131.0,8,low,M,7.0,4471.0,False,4001-5000,6-10%
4976,F,Ship,4,2,194.0,8,medium,M,10.0,5995.0,False,5001-6000,6-10%
4977,A,Ship,4,5,261.0,3,high,F,2.0,4954.0,True,4001-5000,0-5%
4978,B,Ship,4,2,254.0,10,high,M,7.0,5820.0,False,5001-6000,6-10%
4979,C,Ship,4,1,161.0,6,low,F,2.0,5734.0,False,5001-6000,0-5%
4980,F,Ship,4,5,227.0,2,low,M,7.0,4414.0,False,4001-5000,6-10%
4981,D,Ship,3,1,165.0,3,high,F,10.0,4208.0,False,4001-5000,6-10%
4982,F,Ship,3,2,156.0,7,medium,F,9.0,5313.0,True,5001-6000,6-10%
4983,A,Ship,3,3,262.0,7,high,F,9.0,5097.0,False,5001-6000,6-10%
4984,B,Ship,4,3,263.0,3,low,M,4.0,4150.0,True,4001-5000,0-5%
4985,C,Ship,4,2,196.0,3,low,M,1.0,5172.0,True,5001-6000,0-5%
4986,F,Ship,6,1,152.0,2,low,F,3.0,1340.0,False,1000-2000,0-5%
4987,D,Ship,7,1,278.0,4,low,M,10.0,1508.0,True,1000-2000,6-10%
4988,F,Ship,6,4,260.0,4,medium,M,1.0,1726.0,False,1000-2000,0-5%
4989,A,Ship,6,5,254.0,4,low,M,7.0,1674.0,False,1000-2000,6-10%
4990,B,Ship,2,4,151.0,4,low,F,2.0,1150.0,False,1000-2000,0-5%
4991,C,Ship,2,3,198.0,2,medium,F,6.0,1996.0,False,1000-2000,6-10%
4992,F,Ship,6,2,243.0,4,low,M,9.0,1258.0,True,1000-2000,6-10%
4993,D,Ship,6,2,245.0,4,low,F,10.0,1448.0,False,1000-2000,6-10%
4994,F,Ship,3,5,268.0,3,low,F,6.0,5603.0,False,5001-6000,6-10%
4995,A,Ship,3,3,269.0,3,high,F,6.0,4260.0,True,4001-5000,6-10%
4996,B,Ship,4,4,275.0,3,low,M,10.0,5674.0,True,5001-6000,6-10%
4997,C,Ship,5,2,233.0,3,high,M,7.0,5323.0,True,5001-6000,6-10%
4998,F,Ship,2,2,259.0,3,low,M,6.0,4840.0,True,4001-5000,6-10%
4999,D,Ship,3,3,239.0,6,low,M,7.0,4501.0,True,4001-5000,6-10%
5000,F,Ship,3,3,134.0,3,medium,F,8.0,4950.0,False,4001-5000,6-10%
5001,A,Ship,5,3,131.0,8,low,F,5.0,4149.0,True,4001-5000,0-5%
5002,B,Ship,4,5,194.0,8,medium,F,9.0,4843.0,True,4001-5000,6-10%
5003,C,Ship,4,2,261.0,3,high,M,1.0,4931.0,False,4001-5000,0-5%
5004,F,Ship,4,5,254.0,10,high,M,7.0,5524.0,True,5001-6000,6-10%
5005,D,Ship,4,3,161.0,6,low,M,6.0,5560.0,True,5001-6000,6-10%
5006,F,Ship,4,4,227.0,2,low,F,7.0,4916.0,False,4001-5000,6-10%
5007,A,Ship,3,4,165.0,3,high,M,10.0,4910.0,False,4001-5000,6-10%
5008,B,Ship,3,3,156.0,7,medium,M,2.0,5467.0,False,5001-6000,0-5%
5009,C,Ship,3,2,262.0,7,high,M,5.0,5985.0,True,5001-6000,0-5%
5010,F,Ship,4,3,263.0,3,low,F,3.0,5253.0,False,5001-6000,0-5%
5011,D,Ship,4,3,196.0,3,low,F,10.0,4194.0,True,4001-5000,6-10%
5012,F,Ship,6,2,152.0,2,low,M,6.0,1711.0,False,1000-2000,6-10%
5013,A,Ship,7,3,278.0,4,low,F,8.0,1909.0,True,1000-2000,6-10%
5014,B,Ship,6,5,260.0,4,medium,F,10.0,1799.0,False,1000-2000,6-10%
5015,C,Ship,6,2,254.0,4,low,M,4.0,1392.0,False,1000-2000,0-5%
5016,F,Ship,2,3,151.0,4,low,F,3.0,1353.0,True,1000-2000,0-5%
5017,D,Ship,2,3,198.0,2,medium,F,6.0,1730.0,True,1000-2000,6-10%
5018,F,Ship,5,2,285.0,4,medium,F,7.0,1666.0,True,1000-2000,6-10%
5019,A,Ship,7,1,306.0,4,medium,M,5.0,1467.0,False,1000-2000,0-5%
5020,B,Ship,6,4,291.0,4,low,F,5.0,1327.0,False,1000-2000,0-5%
5021,C,Ship,6,3,292.0,4,low,M,8.0,1925.0,False,1000-2000,6-10%
5022,F,Ship,6,2,293.0,5,low,F,3.0,1969.0,False,1000-2000,0-5%
5023,D,Ship,6,4,275.0,4,low,F,3.0,1182.0,False,1000-2000,0-5%
5024,F,Ship,6,5,274.0,4,low,M,6.0,1066.0,False,1000-2000,6-10%
5025,A,Ship,7,2,310.0,4,low,F,7.0,1294.0,False,1000-2000,6-10%
5026,B,Ship,6,5,292.0,4,low,M,4.0,1762.0,True,1000-2000,0-5%
5027,C,Ship,6,3,256.0,5,low,F,1.0,1980.0,False,1000-2000,0-5%
5028,F,Ship,7,4,295.0,4,low,M,5.0,1239.0,False,1000-2000,0-5%
5029,D,Ship,3,5,149.0,2,medium,M,5.0,1023.0,False,1000-2000,0-5%
5030,F,Ship,6,5,294.0,4,medium,F,2.0,1273.0,True,1000-2000,0-5%
5031,A,Ship,6,3,281.0,4,medium,F,7.0,1599.0,True,1000-2000,6-10%
5032,B,Ship,6,4,294.0,4,medium,M,6.0,1112.0,False,1000-2000,6-10%
5033,C,Ship,6,5,249.0,4,low,F,8.0,1274.0,False,1000-2000,6-10%
5034,F,Ship,6,5,276.0,4,medium,F,6.0,1005.0,True,1000-2000,6-10%
5035,D,Ship,7,5,284.0,4,medium,F,8.0,1148.0,True,1000-2000,6-10%
5036,F,Ship,4,5,134.0,3,low,F,1.0,1008.0,False,1000-2000,0-5%
5037,A,Ship,6,3,271.0,4,medium,F,1.0,1733.0,False,1000-2000,0-5%
5038,B,Ship,6,2,244.0,4,medium,F,1.0,1406.0,True,1000-2000,0-5%
5039,C,Ship,6,1,264.0,4,low,M,10.0,1960.0,False,1000-2000,6-10%
5040,F,Ship,6,5,275.0,4,low,M,8.0,1553.0,True,1000-2000,6-10%
5041,D,Ship,7,3,310.0,4,medium,F,7.0,1989.0,False,1000-2000,6-10%
5042,F,Ship,6,2,301.0,5,medium,F,3.0,1586.0,False,1000-2000,0-5%
5043,A,Road,6,3,247.0,4,medium,F,9.0,1011.0,False,1000-2000,6-10%
5044,B,Road,4,2,224.0,2,low,M,9.0,5603.0,True,5001-6000,6-10%
5045,C,Road,3,5,242.0,2,low,F,6.0,5635.0,False,5001-6000,6-10%
5046,F,Road,4,1,145.0,2,low,F,2.0,5209.0,False,5001-6000,0-5%
5047,D,Road,4,1,150.0,2,low,M,5.0,4140.0,False,4001-5000,0-5%
5048,F,Road,4,4,266.0,3,low,M,4.0,5905.0,False,5001-6000,0-5%
5049,A,Road,5,1,260.0,2,low,M,4.0,5580.0,False,5001-6000,0-5%
5050,B,Road,4,1,259.0,3,medium,M,5.0,4435.0,True,4001-5000,0-5%
5051,C,Road,4,3,192.0,3,low,F,10.0,4068.0,False,4001-5000,6-10%
5052,F,Road,3,1,149.0,3,medium,M,5.0,4805.0,True,4001-5000,0-5%
5053,D,Road,4,1,133.0,2,medium,M,1.0,5274.0,True,5001-6000,0-5%
5054,F,Road,4,4,145.0,3,medium,F,3.0,5424.0,True,5001-6000,0-5%
5055,A,Road,3,4,186.0,3,high,M,1.0,5922.0,True,5001-6000,0-5%
5056,B,Road,5,3,267.0,3,medium,F,8.0,5786.0,True,5001-6000,6-10%
5057,C,Road,3,3,157.0,4,medium,F,2.0,5684.0,False,5001-6000,0-5%
5058,F,Road,4,2,174.0,3,low,F,3.0,5920.0,False,5001-6000,0-5%
5059,D,Road,4,4,216.0,2,low,F,4.0,5984.0,False,5001-6000,0-5%
5060,F,Road,4,3,143.0,3,low,F,2.0,4693.0,False,4001-5000,0-5%
5061,A,Road,5,1,135.0,3,low,M,3.0,4939.0,True,4001-5000,0-5%
5062,B,Road,4,2,222.0,3,low,M,4.0,5919.0,False,5001-6000,0-5%
5063,C,Road,6,2,140.0,2,high,M,1.0,4053.0,False,4001-5000,0-5%
5064,F,Road,4,2,209.0,2,medium,F,9.0,5131.0,False,5001-6000,6-10%
5065,D,Flight,3,5,162.0,2,low,M,4.0,4495.0,False,4001-5000,0-5%
5066,F,Flight,5,2,152.0,4,medium,M,6.0,5596.0,False,5001-6000,6-10%
5067,A,Flight,4,2,236.0,3,medium,M,9.0,4725.0,False,4001-5000,6-10%
5068,B,Flight,4,5,192.0,4,low,F,10.0,4691.0,False,4001-5000,6-10%
5069,C,Flight,5,2,233.0,3,high,F,4.0,4140.0,False,4001-5000,0-5%
5070,F,Flight,3,5,156.0,3,medium,F,2.0,4190.0,True,4001-5000,0-5%
5071,D,Flight,5,1,257.0,3,medium,M,7.0,4133.0,False,4001-5000,6-10%
5072,F,Flight,4,5,228.0,4,low,M,4.0,4750.0,False,4001-5000,0-5%
5073,A,Flight,5,1,262.0,2,high,M,9.0,5008.0,False,5001-6000,6-10%
5074,B,Flight,3,1,203.0,2,low,M,2.0,4647.0,True,4001-5000,0-5%
5075,C,Flight,4,5,217.0,4,medium,F,3.0,5966.0,False,5001-6000,0-5%
5076,F,Flight,3,1,197.0,5,medium,F,6.0,5919.0,False,5001-6000,6-10%
5077,D,Flight,3,5,217.0,3,low,M,9.0,4306.0,False,4001-5000,6-10%
5078,F,Flight,3,2,200.0,4,medium,F,4.0,4918.0,False,4001-5000,0-5%
5079,A,Flight,4,3,181.0,3,medium,M,10.0,4541.0,True,4001-5000,6-10%
5080,B,Flight,4,1,212.0,3,low,M,2.0,4353.0,True,4001-5000,0-5%
5081,C,Flight,5,3,217.0,2,low,F,4.0,5588.0,False,5001-6000,0-5%
5082,F,Flight,5,4,240.0,4,medium,F,2.0,5215.0,False,5001-6000,0-5%
5083,D,Flight,3,1,161.0,3,low,M,9.0,4865.0,True,4001-5000,6-10%
5084,F,Flight,3,4,157.0,3,medium,F,6.0,5611.0,False,5001-6000,6-10%
5085,A,Flight,4,5,133.0,3,medium,M,4.0,5180.0,True,5001-6000,0-5%
5086,B,Flight,4,3,138.0,3,low,F,2.0,5593.0,False,5001-6000,0-5%
5087,C,Ship,4,3,158.0,3,high,M,1.0,5089.0,True,5001-6000,0-5%
5088,F,Ship,5,2,243.0,3,high,M,2.0,5734.0,True,5001-6000,0-5%
5089,D,Ship,3,2,189.0,3,medium,M,2.0,4718.0,False,4001-5000,0-5%
5090,F,Ship,2,4,272.0,2,medium,M,4.0,4632.0,False,4001-5000,0-5%
5091,A,Ship,4,4,168.0,3,low,M,6.0,5488.0,True,5001-6000,6-10%
5092,B,Ship,4,4,157.0,3,medium,F,10.0,5041.0,True,5001-6000,6-10%
5093,C,Ship,3,5,217.0,2,medium,F,6.0,5182.0,False,5001-6000,6-10%
5094,F,Ship,5,3,237.0,4,low,F,8.0,5432.0,False,5001-6000,6-10%
5095,D,Ship,4,3,133.0,2,low,M,9.0,4145.0,False,4001-5000,6-10%
5096,F,Ship,3,4,243.0,2,medium,M,1.0,5840.0,True,5001-6000,0-5%
5097,A,Ship,5,3,273.0,4,medium,M,2.0,4186.0,True,4001-5000,0-5%
5098,B,Ship,5,4,202.0,5,low,F,6.0,5230.0,True,5001-6000,6-10%
5099,C,Ship,5,5,240.0,2,low,F,7.0,4409.0,True,4001-5000,6-10%
5100,F,Ship,3,5,275.0,3,low,M,6.0,5148.0,False,5001-6000,6-10%
5101,D,Ship,3,5,274.0,3,medium,M,5.0,4710.0,True,4001-5000,0-5%
5102,F,Ship,4,3,272.0,3,low,F,4.0,5654.0,False,5001-6000,0-5%
5103,A,Ship,2,4,126.0,5,medium,M,2.0,5461.0,False,5001-6000,0-5%
5104,B,Ship,5,3,215.0,2,medium,F,10.0,5194.0,True,5001-6000,6-10%
5105,C,Ship,2,5,175.0,5,low,F,8.0,4269.0,False,4001-5000,6-10%
5106,F,Ship,4,3,149.0,6,medium,M,5.0,5456.0,True,5001-6000,0-5%
5107,D,Ship,6,1,145.0,3,medium,F,1.0,4346.0,True,4001-5000,0-5%
5108,F,Ship,6,1,257.0,4,medium,F,3.0,5656.0,True,5001-6000,0-5%
5109,A,Ship,4,3,136.0,3,medium,M,10.0,4299.0,True,4001-5000,6-10%
5110,B,Ship,5,3,163.0,6,low,M,6.0,4349.0,False,4001-5000,6-10%
5111,C,Ship,3,4,256.0,3,low,M,7.0,5013.0,True,5001-6000,6-10%
5112,F,Ship,3,3,141.0,3,low,F,7.0,4954.0,True,4001-5000,6-10%
5113,D,Ship,4,3,196.0,2,medium,F,4.0,4203.0,True,4001-5000,0-5%
5114,F,Ship,5,4,154.0,2,low,F,5.0,5528.0,False,5001-6000,0-5%
5115,A,Ship,5,3,197.0,3,medium,F,2.0,4678.0,True,4001-5000,0-5%
5116,B,Ship,3,2,207.0,3,medium,F,1.0,4369.0,False,4001-5000,0-5%
5117,C,Ship,4,1,258.0,4,low,M,5.0,5664.0,False,5001-6000,0-5%
5118,F,Ship,3,3,270.0,3,high,F,7.0,4690.0,True,4001-5000,6-10%
5119,D,Ship,5,2,139.0,4,low,F,9.0,5070.0,True,5001-6000,6-10%
5120,F,Ship,3,5,197.0,3,low,M,4.0,5423.0,False,5001-6000,0-5%
5121,A,Ship,5,2,176.0,3,low,M,9.0,5656.0,False,5001-6000,6-10%
5122,B,Ship,3,1,206.0,3,medium,M,5.0,5676.0,True,5001-6000,0-5%
5123,C,Ship,4,5,176.0,4,medium,M,6.0,5061.0,False,5001-6000,6-10%
5124,F,Ship,2,4,208.0,3,medium,F,6.0,4226.0,True,4001-5000,6-10%
5125,D,Ship,3,3,154.0,2,medium,F,1.0,5746.0,True,5001-6000,0-5%
5126,F,Ship,2,2,206.0,5,low,F,7.0,5203.0,False,5001-6000,6-10%
5127,A,Ship,3,5,253.0,2,low,M,8.0,5476.0,True,5001-6000,6-10%
5128,B,Ship,4,5,270.0,3,medium,F,2.0,5272.0,False,5001-6000,0-5%
5129,C,Ship,3,3,271.0,4,high,M,3.0,4006.0,True,4001-5000,0-5%
5130,F,Ship,2,1,108.0,3,low,M,4.0,5924.0,True,5001-6000,0-5%
5131,D,Ship,4,5,172.0,2,medium,M,7.0,4559.0,False,4001-5000,6-10%
5132,F,Ship,5,1,265.0,3,high,M,5.0,4951.0,True,4001-5000,0-5%
5133,A,Ship,4,4,208.0,5,medium,F,7.0,5401.0,False,5001-6000,6-10%
5134,B,Ship,4,5,261.0,3,high,M,3.0,4885.0,True,4001-5000,0-5%
5135,C,Ship,4,4,197.0,2,medium,F,1.0,5211.0,False,5001-6000,0-5%
5136,F,Ship,4,4,240.0,2,medium,F,4.0,5101.0,False,5001-6000,0-5%
5137,D,Ship,4,1,273.0,4,low,M,1.0,4857.0,False,4001-5000,0-5%
5138,F,Ship,3,5,180.0,2,medium,M,1.0,5940.0,True,5001-6000,0-5%
5139,A,Ship,4,2,136.0,2,medium,F,7.0,4305.0,True,4001-5000,6-10%
5140,B,Ship,3,4,222.0,6,medium,F,10.0,4579.0,True,4001-5000,6-10%
5141,C,Ship,4,5,231.0,4,medium,M,9.0,5528.0,False,5001-6000,6-10%
5142,F,Ship,4,5,240.0,5,low,M,8.0,4558.0,False,4001-5000,6-10%
5143,D,Ship,4,1,152.0,3,low,M,10.0,5974.0,False,5001-6000,6-10%
5144,F,Ship,5,2,206.0,2,medium,F,2.0,5627.0,True,5001-6000,0-5%
5145,A,Ship,2,3,274.0,4,medium,F,10.0,4798.0,True,4001-5000,6-10%
5146,B,Ship,5,4,97.0,6,high,M,7.0,5509.0,True,5001-6000,6-10%
5147,C,Ship,3,4,243.0,4,medium,F,10.0,4076.0,False,4001-5000,6-10%
5148,F,Ship,3,4,106.0,6,medium,F,7.0,4621.0,False,4001-5000,6-10%
5149,D,Ship,5,3,241.0,3,low,F,2.0,5587.0,True,5001-6000,0-5%
5150,F,Ship,3,1,217.0,4,medium,F,1.0,5761.0,True,5001-6000,0-5%
5151,A,Ship,4,1,241.0,4,medium,M,5.0,5080.0,False,5001-6000,0-5%
5152,B,Ship,4,3,213.0,3,low,M,6.0,5447.0,False,5001-6000,6-10%
5153,C,Ship,3,1,134.0,3,medium,M,10.0,4200.0,False,4001-5000,6-10%
5154,F,Ship,3,4,162.0,2,medium,F,8.0,4972.0,False,4001-5000,6-10%
5155,D,Ship,2,4,193.0,4,low,M,7.0,5552.0,True,5001-6000,6-10%
5156,F,Ship,4,3,138.0,2,medium,M,9.0,5297.0,True,5001-6000,6-10%
5157,A,Ship,5,4,181.0,5,medium,M,2.0,5324.0,False,5001-6000,0-5%
5158,B,Ship,4,2,274.0,2,low,M,10.0,4361.0,False,4001-5000,6-10%
5159,C,Ship,4,3,254.0,2,high,F,3.0,4930.0,False,4001-5000,0-5%
5160,F,Ship,5,2,196.0,5,low,M,10.0,5111.0,False,5001-6000,6-10%
5161,D,Ship,4,2,157.0,4,low,F,6.0,4964.0,False,4001-5000,6-10%
5162,F,Ship,4,3,130.0,3,medium,F,3.0,4317.0,False,4001-5000,0-5%
5163,A,Ship,3,3,273.0,2,medium,F,7.0,5491.0,False,5001-6000,6-10%
5164,B,Ship,4,5,154.0,3,medium,F,9.0,5489.0,True,5001-6000,6-10%
5165,C,Ship,4,2,166.0,3,medium,F,8.0,4758.0,False,4001-5000,6-10%
5166,F,Ship,5,5,171.0,3,low,M,8.0,4227.0,False,4001-5000,6-10%
5167,D,Ship,5,4,177.0,2,low,M,2.0,5618.0,True,5001-6000,0-5%
5168,F,Ship,2,5,195.0,3,low,M,3.0,5785.0,False,5001-6000,0-5%
5169,A,Ship,5,4,269.0,2,low,F,9.0,5517.0,False,5001-6000,6-10%
5170,B,Ship,4,1,196.0,3,low,M,4.0,4634.0,True,4001-5000,0-5%
5171,C,Ship,3,1,244.0,3,high,M,7.0,5140.0,True,5001-6000,6-10%
5172,F,Ship,3,3,137.0,3,medium,M,1.0,5490.0,True,5001-6000,0-5%
5173,D,Ship,3,2,201.0,3,high,M,6.0,5165.0,True,5001-6000,6-10%
5174,F,Ship,3,3,211.0,3,medium,M,7.0,5185.0,False,5001-6000,6-10%
5175,A,Ship,5,3,266.0,3,medium,F,4.0,4195.0,False,4001-5000,0-5%
5176,B,Ship,5,3,222.0,2,low,F,2.0,5953.0,True,5001-6000,0-5%
5177,C,Ship,5,4,241.0,4,high,M,6.0,4412.0,True,4001-5000,6-10%
5178,F,Ship,3,2,226.0,4,medium,F,8.0,5225.0,False,5001-6000,6-10%
5179,D,Ship,3,5,254.0,3,medium,M,3.0,4072.0,False,4001-5000,0-5%
5180,F,Road,4,5,222.0,3,medium,F,8.0,4950.0,False,4001-5000,6-10%
5181,A,Road,4,4,148.0,3,medium,F,5.0,4892.0,False,4001-5000,0-5%
5182,B,Road,4,3,194.0,3,medium,M,3.0,5916.0,True,5001-6000,0-5%
5183,C,Road,4,1,177.0,2,high,F,7.0,5599.0,True,5001-6000,6-10%
5184,F,Road,2,2,150.0,3,low,F,6.0,5854.0,True,5001-6000,6-10%
5185,D,Road,3,2,111.0,2,low,F,4.0,4245.0,True,4001-5000,0-5%
5186,F,Road,5,4,172.0,3,low,F,3.0,5064.0,True,5001-6000,0-5%
5187,A,Road,4,5,234.0,3,low,M,3.0,5438.0,False,5001-6000,0-5%
5188,B,Road,5,5,257.0,4,medium,M,10.0,5180.0,True,5001-6000,6-10%
5189,C,Road,3,1,221.0,3,high,M,3.0,5005.0,True,5001-6000,0-5%
5190,F,Road,5,1,171.0,5,medium,F,8.0,4699.0,False,4001-5000,6-10%
5191,D,Road,4,4,231.0,2,low,F,4.0,5825.0,False,5001-6000,0-5%
5192,F,Road,5,5,187.0,4,medium,F,9.0,5326.0,False,5001-6000,6-10%
5193,A,Road,5,4,233.0,3,low,M,8.0,5076.0,True,5001-6000,6-10%
5194,B,Road,4,4,268.0,6,medium,F,3.0,4834.0,False,4001-5000,0-5%
5195,C,Road,4,2,262.0,3,low,F,9.0,4941.0,False,4001-5000,6-10%
5196,F,Road,3,4,284.0,10,low,M,8.0,4562.0,True,4001-5000,6-10%
5197,D,Road,3,3,259.0,3,medium,F,5.0,4664.0,False,4001-5000,0-5%
5198,F,Road,3,1,221.0,10,medium,M,10.0,5473.0,False,5001-6000,6-10%
5199,A,Road,5,5,271.0,4,high,F,6.0,4547.0,True,4001-5000,6-10%
5200,B,Road,5,4,249.0,3,high,F,2.0,4397.0,True,4001-5000,0-5%
5201,C,Road,5,5,259.0,3,medium,F,5.0,4315.0,False,4001-5000,0-5%
5202,F,Flight,3,1,176.0,3,low,M,5.0,5316.0,True,5001-6000,0-5%
5203,D,Flight,4,1,139.0,3,low,M,6.0,4942.0,True,4001-5000,6-10%
5204,F,Flight,3,4,243.0,3,medium,F,8.0,4959.0,False,4001-5000,6-10%
5205,A,Flight,5,2,248.0,3,medium,M,5.0,5946.0,False,5001-6000,0-5%
5206,B,Flight,3,5,247.0,3,low,F,4.0,5891.0,True,5001-6000,0-5%
5207,C,Flight,5,5,230.0,10,high,M,10.0,5619.0,True,5001-6000,6-10%
5208,F,Flight,5,3,134.0,3,high,M,8.0,5016.0,False,5001-6000,6-10%
5209,D,Flight,4,1,184.0,3,low,F,8.0,4667.0,False,4001-5000,6-10%
